Metrica;reta;parabola;curtis;stofells;hericksen;gompertz;logistico;chapman_richards;Estrato
AIC;315.50901687605574;316.4523728277985;321.34450290169315;315.75709461980546;319.743139031518;316.4459205975961;316.45498679126393;318.38114544452833;PR2T3
BIC;319.8267830427751;322.9290220778775;325.6622690684125;320.0748607865248;324.0609051982374;322.9225698476751;322.9316360413429;324.8577946946073;PR2T3
RMSE;2.919048693264233;2.9342992293683228;3.369545967288191;2.960917465169518;3.22127706265291;2.9244202562028727;2.915051915625489;2.9828839240000335;PR2T4
MAE;2.3253441922637546;2.3356915180522866;2.7526810831396786;2.365142851711806;2.5566331138161456;2.3254852851196475;2.3154769482803204;2.368940069463489;PR2T4
R²;0.706577140663569;0.7035031629413908;0.60902045539036;0.6980994744260489;0.642671689453568;0.7054962477363635;0.707380102985157;0.6936033781159293;PR2T4
R² Ajustado;0.7002669716455813;0.6938347878199145;0.6006122931406903;0.6916069900051037;0.6349872096568706;0.6958928645103755;0.6978381498216295;0.6836121839240574;PR2T4
AIC;482.1176908337492;485.1181813551863;509.6735758114582;484.8520399290585;501.03355214906423;484.4706799173343;483.8546232323712;488.27119209139084;PR2T4
BIC;487.24638721668487;492.81122592958985;514.8022721943938;489.9807363119942;506.1622485319999;492.1637244917378;491.5476678067747;495.9642366657944;PR2T4
RMSE;2.9250485954555967;2.926665390173135;3.248382332747071;2.94961859382887;3.1019279106519244;2.9144046194458264;2.9039464207706236;2.939643539444;PR2T5
MAE;2.4912572861551476;2.4936610516542195;2.804975121368263;2.5023934741517753;2.6362207996563543;2.4837142628664415;2.4747310966841747;2.5032016770977594;PR2T5
R²;0.72820471136727;0.7279041634480979;0.6647953515588114;0.7236194494449084;0.6943396162548751;0.7301791872039777;0.7321121903506236;0.7254856224827535;PR2T5
R² Ajustado;0.7244814882353148;0.7222745944159896;0.6602035070596171;0.7198334145057976;0.6901524877104213;0.7245966876288875;0.7265696839440847;0.7198060146720519;PR2T5
AIC;746.6903890192743;748.8550603751437;777.9345072344695;749.1830926811189;764.1867827000553;747.6040173173158;746.5327355950495;750.1736049109877;PR2T5
BIC;752.6982816311653;757.8668992929801;783.9423998463604;755.1909852930098;770.1946753119463;756.6158562351521;755.5445745128859;759.1854438288241;PR2T5
RMSE;2.0023400880209903;1.9981154547335103;2.094911235825401;1.9879823935246395;2.040062791893054;1.9957057630939548;1.9934623923768329;1.9996524174161177;PR2T6
MAE;1.5756493272525494;1.566910417621068;1.6537631654226832;1.5729805159231038;1.6168703748198436;1.569021649522835;1.5709509062564582;1.5757113831936838;PR2T6
R²;0.7758103129574491;0.7767553273248343;0.7546018986366414;0.7790138713859566;0.7672835860213004;0.7772934608350817;0.7777938677891564;0.776411752888535;PR2T6
R² Ajustado;0.7636919514956896;0.7581516046019039;0.7413371364007841;0.7670686752446569;0.7547043204008301;0.7587345825713384;0.7592766901049194;0.7577793989625796;PR2T6
AIC;173.0604059045666;174.89143975307553;176.67597729173957;172.48470280191208;174.55352967414598;174.79490295583662;174.70492445942102;174.95295258953763;PR2T6
BIC;176.43816481279447;179.95807811541735;180.05373619996743;175.86246171013994;177.93128858237384;179.86154131817844;179.77156282176284;180.01959095187945;PR2T6
RMSE;1.7915459303333856;1.739269594590322;1.8830876984575966;1.7734324029766588;1.9104538760416299;2.0532643462765794;1.7383409225934279;1.8357232112325326;PR3T7
MAE;1.453437279019458;1.412887322642671;1.4939283695027281;1.4408366340837366;1.5711061385784262;1.5580659967863515;1.3941400203265486;1.5027823869556998;PR3T7
R²;0.6432896932864811;0.6638032010666519;0.6059050616151986;0.6504663089797448;0.5943673746098067;0.5314569542905777;0.6641621255261597;0.6254807345663251;PR3T7
R² Ajustado;0.6323139915414497;0.6480439761166512;0.5937790635110509;0.6397114261791215;0.5818863707516468;0.5094939990229486;0.6484197251601984;0.6079251439991216;PR3T7
AIC;276.27437028398776;274.2469147705691;283.05178436037846;274.8923361231025;285.01399547174896;296.8182416538006;274.1742790375244;281.5872798375148;PR3T7
